Codigo Pedido;Codigo Producto;Cantidad;Precio Unidad;Numero linea
1;FR-67;10;70.0;3
1;OR-127;40;4.0;1
1;OR-141;25;4.0;2
1;OR-241;15;19.0;4
1;OR-99;23;14.0;5
2;FR-4;3;29.0;6
2;FR-40;7;8.0;7
2;OR-140;50;4.0;3
2;OR-141;20;5.0;2
2;OR-159;12;6.0;5
2;OR-227;67;64.0;1
2;OR-247;5;462.0;4
3;FR-48;120;9.0;6
3;OR-122;32;5.0;4
3;OR-123;11;5.0;5
3;OR-213;30;266.0;1
3;OR-217;15;65.0;2
3;OR-218;24;25.0;3
4;FR-31;12;8.0;7
4;FR-34;42;8.0;6
4;FR-40;42;9.0;8
4;OR-152;3;6.0;5
4;OR-155;4;6.0;3
4;OR-156;17;9.0;4
4;OR-157;38;10.0;2
4;OR-222;21;59.0;1
8;FR-106;3;11.0;1
8;FR-108;1;32.0;2
8;FR-11;10;100.0;3
9;AR-001;80;1.0;3
9;AR-008;450;1.0;2
9;FR-106;80;8.0;1
9;FR-69;15;91.0;2
10;FR-82;5;70.0;2
10;FR-91;30;75.0;1
10;OR-234;5;64.0;3
11;AR-006;180;1.0;3
11;OR-247;80;8.0;1
12;AR-009;290;1.0;1
13;11679;5;14.0;1
13;21636;12;14.0;2
13;FR-11;5;100.0;3
14;FR-100;8;11.0;2
14;FR-13;13;57.0;1
15;FR-84;4;13.0;3
15;OR-101;2;6.0;2
15;OR-156;6;10.0;1
15;OR-203;9;10.0;4
16;30310;12;12.0;1
16;FR-36;10;9.0;2
17;11679;5;14.0;1
17;22225;5;12.0;3
17;FR-37;5;9.0;2
17;FR-64;5;22.0;4
17;OR-136;5;18.0;5
18;22225;4;12.0;2
18;FR-22;2;4.0;1
18;OR-159;10;6.0;3
19;30310;9;12.0;5
19;FR-23;6;8.0;4
19;FR-75;1;32.0;2
19;FR-84;5;13.0;1
19;OR-208;20;4.0;3
20;11679;14;14.0;1
20;30310;8;12.0;2
21;21636;5;14.0;3
21;FR-18;22;4.0;1
21;FR-53;3;8.0;2
22;OR-240;1;6.0;1
23;AR-002;110;1.0;4
23;FR-107;50;22.0;3
23;FR-85;4;70.0;2
23;OR-249;30;5.0;1
24;22225;3;15.0;1
24;FR-1;4;7.0;4
24;FR-23;2;7.0;2
24;OR-241;10;20.0;3
25;FR-77;15;69.0;1
25;FR-9;4;30.0;3
25;FR-94;10;30.0;2
26;FR-15;9;25.0;3
26;OR-188;4;25.0;1
26;OR-218;14;25.0;2
27;OR-101;22;6.0;2
27;OR-102;22;6.0;3
27;OR-186;40;6.0;1
28;FR-11;8;99.0;3
28;OR-213;3;266.0;2
28;OR-247;1;462.0;1
29;FR-82;4;70.0;4
29;FR-9;4;28.0;1
29;FR-94;20;31.0;5
29;OR-129;2;111.0;2
29;OR-160;10;9.0;3
30;AR-004;10;1.0;6
30;FR-108;2;32.0;2
30;FR-12;2;19.0;3
30;FR-72;4;31.0;5
30;FR-89;10;45.0;1
30;OR-120;5;5.0;4
31;AR-009;25;2.0;3
31;FR-102;1;20.0;1
31;FR-4;6;29.0;2
32;11679;1;14.0;4
32;21636;4;15.0;5
32;22225;1;15.0;3
32;OR-128;29;100.0;2
32;OR-193;5;20.0;1
33;FR-17;423;2.0;4
33;FR-29;120;8.0;3
33;OR-214;212;10.0;2
33;OR-247;150;462.0;1
34;FR-3;56;7.0;4
34;FR-7;12;29.0;3
34;OR-172;20;18.0;1
34;OR-174;24;18.0;2
35;21636;12;14.0;4
35;FR-47;55;8.0;3
35;OR-165;3;10.0;2
35;OR-181;36;10.0;1
35;OR-225;72;10.0;5
36;30310;4;12.0;2
36;FR-1;2;7.0;3
36;OR-147;6;7.0;4
36;OR-203;1;12.0;5
36;OR-99;15;13.0;1
37;FR-105;4;70.0;1
37;FR-57;203;8.0;2
37;OR-176;38;10.0;3
38;11679;5;14.0;1
38;21636;2;14.0;2
39;22225;3;12.0;1
39;30310;6;12.0;2
40;AR-001;4;1.0;1
40;AR-002;8;1.0;2
41;AR-003;5;1.0;1
41;AR-004;5;1.0;2
42;AR-005;3;1.0;1
42;AR-006;1;1.0;2
43;AR-007;9;1.0;1
44;AR-008;5;1.0;1
45;AR-009;6;1.0;1
45;AR-010;4;1.0;2
46;FR-1;4;7.0;1
46;FR-10;8;7.0;2
47;FR-100;9;11.0;1
47;FR-101;5;13.0;2
48;FR-102;1;18.0;1
48;FR-103;1;25.0;2
48;OR-234;50;64.0;1
48;OR-236;45;49.0;2
48;OR-237;50;19.0;3
50;OR-225;12;10.0;1
50;OR-226;15;38.0;2
50;OR-227;44;64.0;3
51;OR-209;50;10.0;1
51;OR-210;80;39.0;2
51;OR-211;70;59.0;3
53;FR-2;1;7.0;1
53;FR-85;1;70.0;3
53;FR-86;2;11.0;2
53;OR-116;6;7.0;4
54;11679;3;14.0;3
54;FR-100;45;10.0;2
54;FR-18;5;4.0;1
54;FR-79;3;22.0;4
54;OR-116;8;7.0;6
54;OR-123;3;5.0;5
54;OR-168;2;10.0;7
55;OR-115;9;7.0;1
55;OR-213;2;266.0;2
55;OR-227;6;64.0;5
55;OR-243;2;64.0;4
55;OR-247;1;462.0;3
56;OR-129;1;115.0;5
56;OR-130;10;18.0;6
56;OR-179;1;6.0;3
56;OR-196;3;10.0;4
56;OR-207;4;4.0;2
56;OR-250;3;10.0;1
57;FR-69;6;91.0;4
57;FR-81;3;49.0;3
57;FR-84;2;13.0;1
57;FR-94;6;9.0;2
58;OR-102;65;18.0;3
58;OR-139;80;4.0;1
58;OR-172;69;15.0;2
58;OR-177;150;15.0;4
74;FR-67;15;70.0;1
74;OR-227;34;64.0;2
74;OR-247;42;8.0;3
75;AR-006;60;1.0;2
75;FR-87;24;22.0;3
75;OR-157;46;10.0;1
76;AR-009;250;1.0;5
76;FR-79;40;22.0;3
76;FR-87;24;22.0;4
76;FR-94;35;9.0;1
76;OR-196;25;10.0;2
77;22225;34;12.0;2
77;30310;15;12.0;1
78;FR-53;25;8.0;2
78;FR-85;56;70.0;3
78;OR-157;42;10.0;4
78;OR-208;30;4.0;1
79;OR-240;50;6.0;1
80;FR-11;40;100.0;3
80;FR-36;47;9.0;2
80;OR-136;75;18.0;1
81;OR-208;30;4.0;1
82;OR-227;34;64.0;1
83;OR-208;30;4.0;1
89;FR-108;3;32.0;2
89;FR-3;15;7.0;6
89;FR-42;12;8.0;4
89;FR-66;5;49.0;1
89;FR-87;4;22.0;3
89;OR-157;8;10.0;5
90;AR-001;19;1.0;1
90;AR-002;10;1.0;2
90;AR-003;12;1.0;3
91;FR-100;52;11.0;1
91;FR-101;14;13.0;2
91;FR-102;35;18.0;3
92;FR-108;12;23.0;1
92;FR-11;20;100.0;2
92;FR-12;30;21.0;3
93;FR-54;25;9.0;1
93;FR-58;51;11.0;2
93;FR-60;3;32.0;3
94;11679;12;14.0;1
94;FR-11;33;100.0;3
94;FR-4;79;29.0;2
95;FR-10;9;7.0;2
95;FR-75;6;32.0;1
95;FR-82;5;70.0;3
96;FR-43;6;8.0;1
96;FR-6;16;7.0;4
96;FR-71;10;22.0;3
96;FR-90;4;70.0;2
97;FR-41;12;8.0;1
97;FR-54;14;9.0;2
97;OR-156;10;10.0;3
98;FR-33;14;8.0;4
98;FR-56;16;8.0;3
98;FR-60;8;32.0;1
98;FR-8;18;6.0;5
98;FR-85;6;70.0;2
99;OR-157;15;10.0;2
99;OR-227;30;64.0;1
100;FR-87;20;22.0;1
100;FR-94;40;9.0;2
101;AR-006;50;1.0;1
101;AR-009;159;1.0;2
102;22225;32;12.0;2
102;30310;23;12.0;1
103;FR-53;12;8.0;2
103;OR-208;52;4.0;1
104;FR-85;9;70.0;1
104;OR-157;113;10.0;2
105;OR-227;21;64.0;2
105;OR-240;27;6.0;1
106;AR-009;231;1.0;1
106;OR-136;47;18.0;2
107;30310;143;12.0;2
107;FR-11;15;100.0;1
108;FR-53;53;8.0;1
108;OR-208;59;4.0;2
109;FR-22;8;4.0;5
109;FR-36;12;9.0;3
109;FR-45;14;8.0;4
109;OR-104;20;10.0;1
109;OR-119;10;5.0;2
109;OR-125;3;5.0;6
109;OR-130;2;18.0;7
110;AR-010;6;1.0;3
110;FR-1;14;7.0;1
110;FR-16;1;45.0;2
116;21636;5;14.0;1
116;AR-001;32;1.0;2
116;AR-005;18;1.0;5
116;FR-33;13;8.0;3
116;OR-200;10;4.0;4
117;FR-78;2;15.0;1
117;FR-80;1;32.0;3
117;OR-146;17;4.0;2
117;OR-179;4;6.0;4
128;AR-004;15;1.0;1
128;OR-150;18;2.0;2
